cmb-cat,cat_move_in_no,new_no,move_out_no,new_total
P-I-T-PA-S-OE-C,0,0,0,2
P-T-TECH-OE-C,0,0,0,0
P-I-S-OE-B-C,0,0,0,1
P-T-TECH-OE-B,0,0,0,0
I-T-PA-S-OE-B-C,0,0,0,5
P-T-OE,0,0,1,8
P-T-PA-TECH-S-OE,0,0,0,3
I-PA-S-OE,0,0,0,27
P-T-PA-TECH,0,0,0,0
I,0,6,0,2343
P-PA-TECH,0,0,0,0
I-T-S-OE-B,0,0,0,0
I-T-S-OE-C,0,0,0,2
P-TECH-B,0,0,0,0
P-I-T-B-C,0,0,0,0
I-S-OE-B-C,0,0,0,2
P-I-T-TECH-C,0,0,0,1
P-I-T-TECH-B,0,0,0,0
T-PA-S-OE,0,0,0,8
P-TECH-S,0,0,0,2
T-PA-TECH-S-OE-B,0,0,0,0
P-I-T-TECH-S,0,0,0,3
P-I-T-OE-C,0,0,0,0
P-I-T-OE-B,0,0,0,1
I-C,0,0,0,7
I-B,0,0,0,4
PA-S-OE-B,0,0,0,3
PA-S-OE-C,0,0,0,6
P-I-T-TECH-OE-C,0,0,0,0
P-I-T-PA-TECH,0,0,0,2
I-S,0,0,0,241
I-T,0,0,0,489
I-PA-TECH-S-OE,0,0,0,10
PA-B-C,0,0,0,1
P-PA-TECH-S-B-C,0,0,0,0
P-T-PA-S,0,0,0,4
P-PA-TECH-OE,0,0,0,0
P-T-PA-TECH-S-OE-B-C,0,0,0,0
P-T-PA-B,0,0,0,0
P-T-PA-C,0,0,0,0
P-PA-S,0,0,0,5
P-PA-B-C,0,0,0,0
P-I-PA-TECH-C,0,0,0,0
P-I-PA-TECH-B,0,0,0,0
P-T-B-C,0,0,0,1
P-T-PA,0,0,0,2
P-PA-C,0,0,0,0
P-PA-B,0,0,0,0
I-T-PA-S-OE-C,0,0,0,7
I-T-PA-S-OE-B,0,0,0,2
P-I-T-PA-OE-B,0,0,0,0
P-I-T-PA-OE-C,0,0,0,0
P-I-T-TECH-S-OE-C,0,0,0,1
B,0,0,0,49
P-I-T-S-C,0,0,0,0
P-I-T-S-B,0,0,0,0
P-I-T-S-B-C,0,0,0,0
P-I-PA-TECH-S,0,0,0,0
P-I-B,0,0,0,0
P-I-C,0,0,0,0
T-S-OE,0,0,0,7
P-I-S,0,0,0,9
P-I-T,0,0,0,67
P-I-T-TECH-S-OE-B-C,0,0,0,0
P-I-T-PA-TECH-S-OE,0,0,0,4
I-T-PA-OE-C,0,0,0,1
I-T-PA-OE-B,0,0,0,0
PA-S-B,0,0,0,4
I-PA-TECH-S,0,0,0,34
PA-TECH-S-OE-B-C,0,0,0,2
P-I-T-TECH-S-OE-B,0,0,0,0
I-PA-TECH-B,0,0,0,0
I-PA-TECH-C,0,0,0,0
P-I-PA-S-B-C,0,0,0,0
PA-TECH-S-OE-B,0,0,0,0
PA-TECH-S-OE-C,0,0,0,1
P-I-PA-OE,0,0,0,1
P-I-B-C,0,0,0,0
I-T-TECH-OE-B-C,0,0,0,0
P-I-T-PA-OE-B-C,0,0,0,0
P-I-TECH-S-B,0,0,0,0
P-I-TECH-S-C,0,0,0,2
P-T-OE-B-C,0,0,0,0
I-S-OE,0,0,0,24
P-I-T-PA-B-C,0,0,0,0
P-I-PA-OE-B-C,0,0,0,0
I-PA-TECH-S-OE-B-C,0,0,0,5
T-PA-TECH-B-C,0,0,0,0
S-OE-C,0,0,0,6
S-OE-B,0,0,0,1
P-T-PA-TECH-OE-B-C,0,0,0,0
P-T-PA-TECH-S-B,0,0,0,0
P-T-PA-TECH-S-C,0,0,0,1
P-I-T-TECH-S-B-C,0,0,0,2
B-C,0,0,0,99
I-TECH-S-OE-C,0,0,0,0
I-TECH-S-OE-B,0,0,0,1
TECH-S-C,0,0,0,1
TECH-S-B,0,0,0,2
P-I-T-PA-TECH-S-B-C,0,0,0,4
P-I-TECH-B-C,0,0,0,1
S-OE,0,0,0,24
P-I-PA-TECH-OE-B-C,0,0,0,0
T-TECH-S-OE,0,0,0,5
I-T-PA,0,0,1,41
T-B-C,0,0,0,1
P-OE,0,0,0,4
P-I-TECH-S-OE-B,0,0,0,0
P-I-TECH-S-OE-C,0,0,0,0
T-S-B-C,0,0,0,2
I-PA-TECH-S-B,0,0,0,5
I-PA-TECH-S-C,0,0,0,7
I-TECH-B-C,0,0,0,0
I-TECH,0,0,0,96
PA-TECH-OE-B,0,0,0,0
PA-TECH-OE-C,0,0,0,0
I-TECH-S-C,0,0,0,6
I-TECH-S-B,0,0,0,4
PA,0,1,0,42
I-PA-S-B-C,0,0,0,4
P-TECH-S-B-C,0,0,0,0
P-I-PA-TECH-S-B-C,0,0,0,0
T-OE-B,0,0,0,0
T-OE-C,0,0,0,2
C,0,0,0,30
I-PA-S-OE-B,0,0,0,0
I-PA-S-OE-C,0,0,0,8
TECH-S,0,0,0,31
I-T-TECH-S-OE-B,0,0,0,0
I-T-TECH-S-OE-C,0,0,0,2
P-I-PA-TECH-S-OE-C,0,0,0,2
P-I-PA-TECH-S-OE-B,0,0,0,1
I-PA-TECH-OE-B-C,0,0,0,0
T-TECH-S,0,0,0,12
P-I-S-OE,0,0,0,5
S,0,0,0,246
I-T-TECH-S-B,0,0,0,0
I-T-TECH-S-C,0,0,0,3
T-TECH-B,0,0,0,0
T-TECH-C,0,0,0,0
P-PA-TECH-S-OE-C,0,0,0,0
P-PA-TECH-S-OE-B,0,0,0,0
P-T-S-B-C,0,0,0,0
P-TECH-OE-B-C,0,0,0,0
P-I-PA-B-C,0,0,0,0
PA-S-B-C,0,0,0,8
P-PA-S-OE-B-C,0,0,0,0
I-T-PA-TECH,0,0,0,5
I-T-OE-B-C,0,0,0,0
T-TECH-S-OE-B-C,0,0,0,0
PA-S-C,0,0,0,10
T-TECH-S-OE-B,0,0,0,0
T-TECH-S-OE-C,0,0,0,1
I-T-PA-TECH-B,0,0,0,0
S-OE-B-C,0,0,0,7
