"1978","577","Xerox CM205 CP105 Cyan (CT201592)"
"1978","578","Xerox CM205 CP105 Magenta (CT201593)"
"1978","579","Xerox CM205 CP105 Yellow (CT201594)"
"1979","522","Xerox PE220 (CWAA0683)"
"1980","970","Brother LC-37 Cyan"
"1981","522","Xerox PE220 (CWAA0683)"
"1982","522","Xerox PE220 (CWAA0683)"
"1983","889","Epson 141 Black (T141190)"
"1984","455","OKI C3530 Black (43459328)"
"1984","454","OKI C3530 Cyan (43459327)"
"1984","1014","Epson 7753 LQ300 (S015506)"
"1985","455","OKI C3530 Black (43459328)"
"1985","454","OKI C3530 Cyan (43459327)"
"1985","1014","Epson 7753 LQ300 (S015506)"
"1986","520","Brother TN-2280 (High Capacity)"
"1987","580","Xerox C1110 Drum (CT350604)"
"1988","816","Epson 73N Black (T105190)"
"1988","818","Epson 73N Magenta (T105390)"
"1988","819","Epson 73N Yellow (T105490)"
"1989","488","Brother TN-2150 (High Capacity)"
"1990","488","Brother TN-2150 (High Capacity)"
"1991","488","Brother TN-2150 (High Capacity)"
"1992","618","HP 940XL Black (C4906AA)"
"1992","614","HP 940XL Yellow (C4909AA)"
"1992","643","HP 88XL Yellow (C9393A)"
"1994","631","HP 564XL Black (CN684WA)"
"1995","581","Xerox M205 P205 High Capacity (CT201610)"
"1996","615","HP 920XL Magenta (CD973AA)"
"1996","728","HP 920XL Black (CD975AA)"
"1996","616","HP 920XL Cyan (CD972AA)"
"1996","617","HP 920XL Yellow (CD974AA)"
"1996","1010","Epson LQ2180 LQ2190 (S015531)"
"1997","917","Epson 85N Value Pack"
"1998","739","HP 704 Black (CN692A)"
"1998","740","HP 704 Color (CN693A)"
"1999","739","HP 704 Black (CN692A)"
"1999","740","HP 704 Color (CN693A)"
"2000","632","HP 564 Yellow (CB320WA)"
"2000","634","HP 564 Magenta (CB319WA)"
"2000","635","HP 564 Cyan (CB318WA)"
"2000","636","HP 564 Black (CB316WA)"
"2001","889","Epson 141 Black (T141190)"
"2002","488","Brother TN-2150 (High Capacity)"
"2002","751","HP 950XL Black (CN045AA)"
"2003","742","HP 703 Black (CD887AA)"
"2004","739","HP 704 Black (CN692A)"
"2004","740","HP 704 Color (CN693A)"
"2005","889","Epson 141 Black (T141190)"
"2005","891","Epson 141 Magenta (T141390)"
"2005","892","Epson 141 Yellow (T141490)"
"2006","616","HP 920XL Cyan (CD972AA)"
"2006","615","HP 920XL Magenta (CD973AA)"
"2006","617","HP 920XL Yellow (CD974AA)"
"2006","728","HP 920XL Black (CD975AA)"
"2007","435","OKI B410 B430 B440 Toner (43979103)"
"2007","1596","Xerox CM205 CP105 Black (CT201591)"
"2008","805","Canon CLI-726 Cyan"
"2008","806","Canon CLI-726 Magenta"
"2008","807","Canon CLI-726 Yellow"
"2008","808","Canon PGI-725 Black"
"2008","617","HP 920XL Yellow (CD974AA)"
"2008","615","HP 920XL Magenta (CD973AA)"
"2008","728","HP 920XL Black (CD975AA)"
"2008","616","HP 920XL Cyan (CD972AA)"
"2008","1841","HP v165w 8GB USB 2.0 Flash Drive - Blue"
"2008","1857","HP v250w 4GB USB 2.0 Flash Drive"
"2009","333","HP 126A Black (CE310A)"
"2009","334","HP 126A Cyan (CE311A)"
"2009","335","HP 126A Yellow (CE312A)"
"2009","336","HP 126A Magenta (CE313A)"
"2009","314","HP 85A (CE285A)"
"2009","760","Canon PG-810XL Black"
"2009","778","Canon CL-811XL Color"
"2010","1879","Brother LC-73 Color Value Pack"
"2010","1880","Brother LC-73 Black Twin Pack"
"2011","765","Canon CLI-821 Yellow"
"2011","768","Canon CLI-821 Cyan"
"2011","769","Canon CLI-821 Black"
"2011","759","Canon PGI-820 Black"
"2011","766","Canon CLI-821 Magenta"
"2012","741","HP 703 Color (CD888AA)"
"2012","742","HP 703 Black (CD887AA)"
"2013","741","HP 703 Color (CD888AA)"
"2013","742","HP 703 Black (CD887AA)"
"2014","741","HP 703 Color (CD888AA)"
"2014","742","HP 703 Black (CD887AA)"
"2015","1596","Xerox CM205 CP105 Black (CT201591)"
"2015","577","Xerox CM205 CP105 Cyan (CT201592)"
"2015","578","Xerox CM205 CP105 Magenta (CT201593)"
"2016","1596","Xerox CM205 CP105 Black (CT201591)"
"2016","577","Xerox CM205 CP105 Cyan (CT201592)"
"2016","578","Xerox CM205 CP105 Magenta (CT201593)"
"2017","1596","Xerox CM205 CP105 Black (CT201591)"
"2017","577","Xerox CM205 CP105 Cyan (CT201592)"
"2017","578","Xerox CM205 CP105 Magenta (CT201593)"
"2018","682","HP 21XL Black (C9351CA)"
"2019","349","HP 85AD Dual Pack (CE285AD)"
"2020","742","HP 703 Black (CD887AA)"
"2021","752","HP 951XL Cyan (CN046AA)"
"2021","754","HP 951XL Yellow (CN048AA)"
"2022","742","HP 703 Black (CD887AA)"
"2023","742","HP 703 Black (CD887AA)"
"2024","1580","HP Deskjet 3070A e-All-in-One Printer - B611a (CQ191A)"
"2024","1686","Samsung ML-1630 Toner (ML-D1630A)"
"2025","1134","Brother MFC-7360"
"2025","520","Brother TN-2280 (High Capacity)"
"2025","616","HP 920XL Cyan (CD972AA)"
"2025","615","HP 920XL Magenta (CD973AA)"
"2025","617","HP 920XL Yellow (CD974AA)"
"2025","720","HP 82 Magenta (C4912A)"
"2026","1134","Brother MFC-7360"
"2026","520","Brother TN-2280 (High Capacity)"
"2026","616","HP 920XL Cyan (CD972AA)"
"2026","615","HP 920XL Magenta (CD973AA)"
"2026","617","HP 920XL Yellow (CD974AA)"
"2026","720","HP 82 Magenta (C4912A)"
"2027","1378","Fuji Xerox DocuPrint M205f"
"2028","617","HP 920XL Yellow (CD974AA)"
"2028","616","HP 920XL Cyan (CD972AA)"
